Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2011/12/1,6.52,-15.16022587,11.56044672,16.90323067
2011/12/2,6.66,-15.48575211,11.80867717,17.26618385
2011/12/5,6.884,-16.0065937,12.20584589,17.84690666
2011/12/6,6.974,-16.21586037,12.36542261,18.08023453
2011/12/7,6.838,-15.89963531,12.12428446,17.7276516
2011/12/8,6.178,-14.36501122,10.95405519,16.01658821
2011/12/9,6.208,-14.43476772,11.00724743,16.09436417
2011/12/12,6.082,-14.14179325,10.78384002,15.76770687
2011/12/13,5.89,-13.69535732,10.44340969,15.26994228
2011/12/14,5.706,-13.26752281,10.11716395,14.79291916
2011/12/15,5.724,-13.30937672,10.1490793,14.83958435
2011/12/16,5.6,-13.02105331,9.929218042,14.51811218
2011/12/19,5.55,-12.90479374,9.840564309,14.38848591
2011/12/20,5.58,-12.97454929,9.893756549,14.46626186
2011/12/21,5.514,-12.82108688,9.776733622,14.29515553
2011/12/22,5.554,-12.91409397,9.847656608,14.39885616
2011/12/23,5.58,-12.97454929,9.893756549,14.46626186
2011/12/27,5.714,-13.28612423,10.13134855,14.81365871
2011/12/28,5.702,-13.25822258,10.11007166,14.7825489
2011/12/29,5.746,-13.36053085,10.18808694,14.8966198
2011/12/30,5.712,-13.28147411,10.1278024,14.80847454
2012/1/3,5.616,-13.05825615,9.979705303,14.55959225
2012/1/4,5.542,-12.88619232,9.848206337,14.3677454
2012/1/5,5.424,-12.61182022,9.638518797,14.06182861
2012/1/6,5.382,-12.51416206,9.563884249,13.95294285
2012/1/9,5.45,-12.67227459,9.684721137,14.12923431
2012/1/10,5.524,-12.84433842,9.816220102,14.32108021
2012/1/11,5.646,-13.1280117,10.03301569,14.6373682
2012/1/12,5.65,-13.13731194,10.04012375,14.6477375
2012/1/13,4.558,-10.59820747,8.099625494,11.8167057
2012/1/17,5.32,-12.36999989,9.45370944,13.79220581
2012/1/18,5.362,-12.46765804,9.528343988,13.90109253
2012/1/19,5.352,-12.44440651,9.510573857,13.87516689
2012/1/20,5.32,-12.36999989,9.45370944,13.79220581
2012/1/23,5.354,-12.44905663,9.514127884,13.88035202
2012/1/24,5.484,-12.75133133,9.74513958,14.21737957
2012/1/25,5.594,-13.00710201,9.940611016,14.5025568
2012/1/26,5.788,-13.45818806,10.28535155,15.00550556
2012/1/27,5.866,-13.63955307,10.42395857,15.20772171
2012/1/30,5.914,-13.75116158,10.50925519,15.33216286
2012/1/31,5.814,-13.51864338,10.33884209,15.07291126
2012/2/1,5.916,-13.75581264,10.52022529,15.33734798
2012/2/2,6.05,-14.06738758,10.75851302,15.68474579
2012/2/3,6.23,-14.48592186,11.07860101,16.15139961
2012/2/6,6.36,-14.78819561,11.30977567,16.48842621
2012/2/7,6.32,-14.69518852,11.238645,16.38472557
2012/2/8,6.386,-14.84865093,11.3560106,16.55583191
2012/2/9,6.516,-15.15092564,11.58718526,16.89286041
2012/2/10,6.22,-14.46266937,11.06081834,16.12547493
2012/2/13,6.298,-14.64403439,11.19952314,16.32769012
2012/2/14,6.634,-15.42529774,11.79702072,17.19877815
2012/2/15,6.72,-13.7746954,15.6874551,17.15824509
2012/2/16,6.836,-14.01247311,15.95825046,17.45442772
2012/2/17,6.994,-14.33634281,16.32709241,17.85785103
2012/2/21,6.9,-14.14366055,16.10765479,17.61783981
2012/2/22,6.844,-14.02887154,15.976926,17.47485542
2012/2/23,6.906,-14.15595913,16.12166145,17.63315964
2012/2/24,6.75,-13.83619022,15.75748838,17.23484421
2012/2/27,6.724,-13.82325459,15.69679287,17.21873093
2012/2/28,6.762,-13.90137482,15.7855017,17.31604004
2012/2/29,6.682,-13.73691082,15.59874628,17.11117744
2012/3/1,6.882,-14.14807224,16.06563482,17.62333488
2012/3/2,6.808,-13.99594212,15.89288606,17.43383598
2012/3/5,6.754,-13.8849287,15.76682615,17.29555321
2012/3/6,6.622,-13.61356163,15.45867972,16.95753098
2012/3/7,6.624,-13.61767387,15.4633486,16.96265221
2012/3/8,6.614,-13.59711552,15.44000417,16.93704414
2012/3/9,6.948,-14.2837553,16.21970804,17.79234695
2012/3/12,7.202,-14.80593109,16.8126565,18.44278717
2012/3/13,7.218,-14.83882332,16.85000758,18.48375893
2012/3/14,7.058,-14.50989437,16.47649674,18.07403374
2012/3/15,7,-14.39065742,16.34109906,17.9255085
2012/3/16,7.064,-14.52222919,16.4905034,18.08939743
